묶음ID,원버킷,후보유형,판매채널,현재정제키,제안정제키,행수,원문예시,같은채널_S2후보,추천판정
OTHER_03,OTHER,s2_structured_title_segment,네이버_연재,혜정이의야한이야기,혜정이의야한이야기,1,혜정이의 야한 이야기,0_혜정이의 야한 이야기_파워레인젖_일반,로직 후보
OTHER_04,OTHER,s2_structured_title_segment,무툰(소설 서비스),혜정이의야한이야기,혜정이의야한이야기,1,혜정이의 야한 이야기,0_혜정이의 야한 이야기_파워레인젖_일반,로직 후보
OTHER_05,OTHER,s2_structured_title_segment,조아라(소설),혜정이의야한이야기,혜정이의야한이야기,1,혜정이의 야한 이야기 (단행본),0_혜정이의 야한 이야기_파워레인젖_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,Yes24(서점),야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다 1권,0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,교보문고(소설),김석산파이브,김석산파이브,1,김석산 파이브,0_김석산 파이브_지미신_일반,로직 후보
NOS2_02,NOS2,s2_structured_title_segment,교보문고(소설),야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다,0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반,로직 후보
NOS2_03,NOS2,s2_structured_title_segment,교보문고(소설),조금은야한우리회사,조금은야한우리회사,1,조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_03,NOS2,s2_structured_title_segment,네이버_연재,드래곤잡으려다내가잡힘,드래곤잡으려다내가잡힘,1,드래곤 잡으려다 내가 잡힘?! [독점],0_드래곤 잡으려다 내가 잡힘_이루이_일반,로직 후보
NOS2_03,NOS2,s2_structured_title_segment,네이버_연재,야한규칙으로다따먹음,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_03,NOS2,s2_structured_title_segment,네이버_연재,야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,1,야한 연극의 TS 주인공이 되었다,0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반,로직 후보
NOS2_03,NOS2,s2_structured_title_segment,네이버_연재,조금은야한우리회사,조금은야한우리회사,1,조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_03,NOS2,s2_structured_title_segment,모픽(mofic),나는작가다,나는작가다,1,나는 작가다,0_나는 작가다_만선_일반,로직 후보
NOS2_03,NOS2,s2_structured_title_segment,모픽(mofic),용사무적,용사무적,1,용사무적,0_용사무적_만선_일반,로직 후보
NOS2_04,NOS2,s2_structured_title_segment,무툰(소설 서비스),조금은야한우리회사,조금은야한우리회사,1,조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_04,NOS2,s2_structured_title_segment,문피아,야한규칙으로다따먹음,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_04,NOS2,s2_structured_title_segment,문피아,야한회사에서대박남,야한회사에서대박남,1,야한 회사에서 대박남,0_야한 회사에서 대박남_파워레인젖_일반,로직 후보
NOS2_04,NOS2,s2_structured_title_segment,미소설,조금은야한우리회사,조금은야한우리회사,1,조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_05,NOS2,s2_structured_title_segment,미스터블루(소설),조금은야한우리회사,조금은야한우리회사,1,조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_05,NOS2,s2_structured_title_segment,북큐브(소설),조금은야한우리회사,조금은야한우리회사,1,조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_05,NOS2,s2_structured_title_segment,북팔(소설),야한규칙으로다따먹음,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_05,NOS2,s2_structured_title_segment,북팔(소설),조금은야한우리회사,조금은야한우리회사,1,조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_05,NOS2,s2_structured_title_segment,블라이스_일반결제,야한규칙으로다따먹음,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_06,NOS2,s2_structured_title_segment,웹소설 하이북,야한규칙으로다따먹음,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음,0_야한규칙으로 다 따먹음_파워레인젖_일반,로직 후보
NOS2_06,NOS2,s2_structured_title_segment,웹소설 하이북,조금은야한우리회사,조금은야한우리회사,1,조금은 야한 우리 회사,0_조금은 야한 우리 회사_파워레인젖_일반,로직 후보
NOS2_07,NOS2,s2_structured_title_segment,한아름(P000003716),야한연극의ts주인공이되었다,야한연극의ts주인공이되었다,1,[연재] 야한 연극의 TS 주인공이 되었다,0_야한 연극의 TS 주인공이 되었다_파워레인젖_일반,로직 후보
NOS2_01,NOS2,space_episode_marker,리디북스(소설),평화로운먼치킨영지화,평화로운먼치킨영지,21,평화로운 먼치킨 영지 5 화 | 평화로운 먼치킨 영지 6 화 | 평화로운 먼치킨 영지 7 화 | 평화로운 먼치킨 영지 8 화 | 평화로운 먼치킨 영지 9 화 | 평화로운 먼치킨 영지 10 화,평화로운 먼치킨 영지 | [연재]평화로운 먼치킨 영지,로직 후보
NOS2_01,NOS2,particle_typo_manual,카카오페이지(소설),천대받는f급힐러라좋았는데요,천대받는f급힐러라서좋았는데요,11,천대받는 F급 힐러라 좋았는데요?,천대받는 F급 힐러라서 좋았는데요?,수동확인 후보
NOS2_01,NOS2,trailing_story_suffix,리디북스(소설),늙은경비에게조교당하는스튜어디스의이야기,늙은경비에게조교당하는스튜어디스,338,늙은 경비에게 조교당하는 스튜어디스의 이야기 15화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 213화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 6화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 14화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 16화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 17화,늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
NOS2_01,NOS2,trailing_story_suffix,에피루스 이북클럽(B2C),늙은경비에게조교당하는스튜어디스의이야기,늙은경비에게조교당하는스튜어디스,37,늙은 경비에게 조교당하는 스튜어디스의 이야기 13화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 14화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 159화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 160화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 161화 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 162화,늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
NOS2_01,NOS2,trailing_story_suffix,원스토어(소설),늙은경비에게조교당하는스튜어디스의이야기,늙은경비에게조교당하는스튜어디스,24,늙은 경비에게 조교당하는 스튜어디스의 이야기,늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
NOS2_01,NOS2,trailing_story_suffix,구글(소설),늙은경비에게조교당하는스튜어디스의이야기,늙은경비에게조교당하는스튜어디스,22,늙은 경비에게 조교당하는 스튜어디스의 이야기 1권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 2권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 3권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 4권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 5권 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 6권,늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
NOS2_01,NOS2,trailing_story_suffix,한아름(P000003716),늙은경비에게조교당하는스튜어디스이야기,늙은경비에게조교당하는스튜어디스,10,[연재] 늙은 경비에게 조교 당하는 스튜어디스 이야기,늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
NOS2_02,NOS2,trailing_story_suffix,미스터블루(소설),늙은경비에게조교당하는스튜어디스의이야기,늙은경비에게조교당하는스튜어디스,2,늙은 경비에게 조교당하는 스튜어디스의 이야기 | 늙은 경비에게 조교당하는 스튜어디스의 이야기 [단행본],늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
NOS2_03,NOS2,trailing_story_suffix,무툰(소설 서비스),늙은경비에게조교당하는스튜어디스의이야기,늙은경비에게조교당하는스튜어디스,1,늙은 경비에게 조교당하는 스튜어디스의 이야기,늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
NOS2_04,NOS2,trailing_story_suffix,미소설,늙은경비에게조교당하는스튜어디스의이야기,늙은경비에게조교당하는스튜어디스,1,늙은 경비에게 조교당하는 스튜어디스의 이야기,늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
NOS2_05,NOS2,trailing_story_suffix,북큐브(소설),늙은경비에게조교당하는스튜어디스이야기,늙은경비에게조교당하는스튜어디스,1,늙은 경비에게 조교당하는 스튜어디스 이야기,늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
NOS2_05,NOS2,trailing_story_suffix,블라이스_일반결제,늙은경비에게조교당하는스튜어디스의이야기,늙은경비에게조교당하는스튜어디스,1,늙은 경비에게 조교당하는 스튜어디스의 이야기,늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
NOS2_06,NOS2,trailing_story_suffix,웹소설 하이북,늙은경비에게조교당하는스튜어디스의이야기,늙은경비에게조교당하는스튜어디스,1,늙은 경비에게 조교당하는 스튜어디스의 이야기,늙은 경비에게 조교당하는 스튜어디스,수동확인 후보
