세부판단유형,원판단유형,판매채널,정제키,행수,원문예시,같은채널_판매채널콘텐츠_근거,콘텐츠마스터_근거,타채널_지급정산_근거,기존대표근거,권고
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,한아름(P000003716),태양천자,2,태양천자,A_정산서등장_정산정보없음::220166::115944::태양천자,115944::[정산정보없음]_태양천자::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(B급 잠재오염),타채널 exact 지급정산 보강 판단,판무림,황성고검,2,황성고검,B_잠재오염_정산정보없음::223466::116442::황성고검,116443::황성고검::소설편집팀::이선근 || 116442::[정산정보없음]_황성고검::소설편집팀::이선근,미스터블루(소설)::116443 || 웹소설 하이북::116443,미스터블루(소설)::황성고검::116443 || 웹소설 하이북::황성고검::116443,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(B급 잠재오염),S2 신규/진짜없음 판단,한아름(P000003716),색녀,2,색녀,B_잠재오염_정산정보없음::206920::113787::색녀,113787::[정산정보없음]_색녀::소설편집팀::이선근,,,판매채널콘텐츠는 있으나 잠재오염. 정산서 등장/사용여부 재확인 후 보강
같은채널 판매채널콘텐츠 있음(C급 사용안함/차단 확인),타채널 exact 지급정산 보강 판단,구글(소설),용사무적,2,용사무적 1권,C_사용안함_사용금지_선차단::115453::114786::(사용안함)_용사무적,114786::(사용안함)_용사무적::소설편집팀::조원재 || 110079::0_용사무적_만선_일반::소설편집팀::조원재,모픽(mofic)::110079 || 교보문고(소설)::110079 || 무툰(소설 서비스)::110079 || 미스터블루(소설)::110079 || 리디북스(소설)::110079,모픽(mofic)::0_용사무적_만선_일반::110079 || 교보문고(소설)::0_용사무적_만선_일반::110079 || 무툰(소설 서비스)::0_용사무적_만선_일반::110079 || 미스터블루(소설)::0_용사무적_만선_일반::110079 || 리디북스(소설)::0_용사무적_만선_일반::110079,사용안함/사용금지 가능성 우선 확인. 자동 매핑 금지
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,구글(소설),교시연애영역,2,[BL] 9교시 연애영역 1권,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,구글(소설),내가키운용사가나에게집착한다,2,내가 키운 용사가 나에게 집착한다 1권,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,구글(소설),집사와수상한계약을,2,[19금] 집사와 수상한 계약을 1권,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,무툰(소설 서비스),독식하는재벌세,2,독식하는 재벌 3세 | 독식하는 재벌 3세 [단행본],,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,미스터블루(소설),독식하는재벌세,2,독식하는 재벌 3세 | 독식하는 재벌 3세 [단행본],,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,알라딘(소설)(1068659313),메소드로맨스웹툰출간기념수인메소드비스트로맨스,2,[BL] 메소드 로맨스 (개정판) 웹툰 출간 기념 수인 외전: 메소드 비스트 로맨스,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,에피루스 이북클럽(B2C),망한세상에서나혼자각성,2,망한 세상에서 나 혼자 각성 2 | 망한 세상에서 나 혼자 각성 3,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
"콘텐츠마스터 없음, 원천 작품 확인",S2 신규/진짜없음 판단,판무림,보수적이라며팬티는왜벗어,2,보수적이라며 팬티는 왜 벗어?,,,,,콘텐츠 마스터 등록 여부부터 확인. no-action/정산제외 가능성 포함
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,Yes24(서점),각인예속의사냥꾼,2,각인 예속의 사냥꾼 12권 | 각인 예속의 사냥꾼 11권,,,밀리의 서재::107780 || 알라딘(소설)(1068659313)::107780 || 리디북스(소설)::107780 || 스낵북(알에스)::107780 || 윌라(전자책)::107780,밀리의 서재::각인 예속의 사냥꾼::107780 || 알라딘(소설)(1068659313)::각인 예속의 사냥꾼::107780 || 리디북스(소설)::각인 예속의 사냥꾼::107780 || 스낵북(알에스)::각인 예속의 사냥꾼::107780 || 윌라(전자책)::각인 예속의 사냥꾼::107780,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,구글(소설),국세청망나니,2,국세청 망나니 1권,,322625::국세청 망나니::운영팀::김부용 || 110389::[원작]국세청 망나니::소설편집팀::이선근 || 109711::[연재]국세청 망나니::소설편집팀::이선근 || 258557::국세청 망나니::디렉터팀::정민교,카카오페이지(창작지원금)::109711 || 네이버_장르::322625 || 알라딘(소설)(1068659313)::322625 || 북팔(소설)::322625 || 한아름(P000003716)::109711,카카오페이지(창작지원금)::[연재]국세청 망나니::109711 || 네이버_장르::국세청 망나니::322625 || 알라딘(소설)(1068659313)::국세청 망나니::322625 || 북팔(소설)::국세청 망나니::322625 || 한아름(P000003716)::[연재]국세청 망나니::109711,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,구글(소설),나홀로마법사,2,나 홀로 마법사 1권,,,카카오페이지(선투자)::111915 || 알라딘(소설)(1068659313)::111915,카카오페이지(선투자)::나 홀로 마법사::111915 || 알라딘(소설)(1068659313)::나 홀로 마법사::111915,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,구글(소설),리턴오브로드,2,리턴 오브 로드 1권,,,카카오페이지(창작지원금)::110746 || 카카오페이지(소설)::110746,카카오페이지(창작지원금)::리턴 오브 로드::110746 || 카카오페이지(소설)::리턴 오브 로드::110746,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,무툰(소설 서비스),코드네임사신,2,코드네임 사신 | 코드네임 사신 [단행본],,,카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310,카카오페이지(소설)::코드네임 사신::160310 || Yes24(서점)::코드네임 사신::160310 || 모픽(mofic)::코드네임 사신::160310 || 미스터블루(소설)::코드네임 사신::160310 || 스낵북(알에스)::코드네임 사신::160310,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,무툰(소설 서비스),핵무기도만들어드릴까요,2,핵무기도 만들어 드릴까요? | 핵무기도 만들어 드릴까요? [단행본],,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아,문피아::110907 || 카카오페이지(선투자)::110907,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,미스터블루(소설),골때리는엄마들,2,골 때리는 엄마들 | 골 때리는 엄마들 [단행본],,303876::[CP웹툰] 골 때리는 엄마들::IP프로듀싱팀::노종아,리디북스(이벤트)::109322 || 네이버_장르(광고수익)::109322 || 알라딘(소설)(1068659313)::109322 || 블라이스 셀렉트::109322 || 리디북스(소설)::109322,리디북스(이벤트)::골 때리는 엄마들::109322 || 네이버_장르(광고수익)::골 때리는 엄마들::109322 || 알라딘(소설)(1068659313)::골 때리는 엄마들::109322 || 블라이스 셀렉트::골 때리는 엄마들::109322 || 리디북스(소설)::골 때리는 엄마들::109322,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,미스터블루(소설),핵무기도만들어드릴까요,2,핵무기도 만들어 드릴까요? | 핵무기도 만들어 드릴까요? [단행본],,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아,문피아::110907 || 카카오페이지(선투자)::110907,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,윌라(전자책),플라스틱먹고살면생활비원,2,플라스틱 먹고 살면 생활비 0원 1 | 플라스틱 먹고 살면 생활비 0원 3,,,밀리의 서재::107847 || 블라이스_일반결제::107847 || 미소설::107847 || 무툰(소설 서비스)::107847,밀리의 서재::플라스틱 먹고 살면 생활비 0원::107847 || 블라이스_일반결제::플라스틱 먹고 살면 생활비 0원::107847 || 미소설::플라스틱 먹고 살면 생활비 0원::107847 || 무툰(소설 서비스)::플라스틱 먹고 살면 생활비 0원::107847,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,카카오페이지(선투자),유산받아레벨업,2,유산 받아 레벨 업!,,,모픽(mofic)::110097 || 토스(소설)::110097 || 웹소설 하이북::110097 || 미소설::110097 || 무툰(소설 서비스)::110097,모픽(mofic)::유산 받아 레벨 업!::110097 || 토스(소설)::유산 받아 레벨 업!::110097 || 웹소설 하이북::유산 받아 레벨 업!::110097 || 미소설::유산 받아 레벨 업!::110097 || 무툰(소설 서비스)::유산 받아 레벨 업!::110097,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,카카오페이지(소설),나는작가다,2,나는 작가다![연재],,111922::0_나는 작가다_만선_일반::소설편집팀::조원재,조아라(소설)::111922 || 스토린랩(원스토어)::111922 || 윌라(전자책)::111922 || 북큐브(소설)::111922 || 무툰(소설 서비스)::111922,조아라(소설)::0_나는 작가다_만선_일반::111922 || 스토린랩(원스토어)::0_나는 작가다_만선_일반::111922 || 윌라(전자책)::0_나는 작가다_만선_일반::111922 || 북큐브(소설)::0_나는 작가다_만선_일반::111922 || 무툰(소설 서비스)::0_나는 작가다_만선_일반::111922,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,채널 보강 판단,카카오페이지(소설),아포칼립스인데나혼자농사,2,아포칼립스인데 나 혼자 농사,,247320::0_아포칼립스인데나혼자농사_이루이_일반::소설편집팀::조원재,알라딘(소설)(1068659313)::247320 || Yes24(서점)::247320 || 구글(소설)::247320 || 네이버_장르::247320 || 카카오페이지(창작지원금)::247320,Yes24(서점) / 0_아포칼립스인데나혼자농사_이루이_일반 / 0.91,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,한아름(P000003716),전직랭커는템빨로레벨업,2,[연재]전직 랭커는 템빨로 레벨 업!,,317605::(카카오)전직 랭커는 템빨로 레벨 업!::소설유통팀::김성경 || 303878::[CP오디오] 전직 랭커는 템빨로 레벨 업!(소설)::IP프로듀싱팀::노종아,모픽(mofic)::317605 || 카카오페이지(선투자)::317605 || 토스(소설)::317605 || 리디북스(이벤트)::317605 || 카카오페이지(창작지원금)::317605,모픽(mofic)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(선투자)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 토스(소설)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 리디북스(이벤트)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(창작지원금)::(카카오)전직 랭커는 템빨로 레벨 업!::317605,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
같은채널 지급정산 fuzzy 동일작 확인,같은채널 fuzzy 작품동일성 판단,구글(소설),"추억,순간의바람이되어",1,추억， 순간의 바람이 되어 1권,,295565::추억， 순간의 바람이 되어::소설2팀::김인희,,"0.9524::추억, 순간의 바람이 되어::295565",동일작 확인 후 exact alias만 검토. 일반 규칙 확장 금지
같은채널 지급정산 fuzzy 동일작 확인,같은채널 fuzzy 작품동일성 판단,네이버_장르,던전에서성자가하는일,1,던전에서 성자가 하는 일 [단행본],,,,0.9091::던전에서 성자性者가 하는 일::112529,동일작 확인 후 exact alias만 검토. 일반 규칙 확장 금지
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,교보문고(소설),무유지,1,무유지 8,A_정산서등장_정산정보없음::163350::160166::무유지,160166::[정산정보없음]_무유지::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,교보문고(소설),협골단심,1,협골단심 1,A_정산서등장_정산정보없음::163362::160170::협골단심,160170::[정산정보없음]_협골단심::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),타채널 exact 지급정산 보강 판단,네이버_연재,논마라나타,1,논 마라나타(non marana tha)[BL],A_정산서등장_정산정보없음::176284::109435::[연재] 논 마라나타(non marana tha),326364::논 마라나타(non marana tha) [봄툰e북]::봄툰소설편집팀::허은지 || 112211::논 마라나타(non marana tha) 세트::봄툰소설편집팀::허은지 || 112210::논 마라나타(non marana tha)::봄툰소설편집팀::허은지 || 109435::[정산정보없음]_[연재] 논 마라나타(non marana tha)::봄툰소설편집팀::허은지,로망띠끄::112210 || 봄툰KR(1068149784)::326364 || 에이블리(소설)::112210 || 에이블리(소설)::112211 || 올툰(소설)::112210,로망띠끄::논 마라나타(non marana tha)::112210 || 봄툰KR(1068149784)::논 마라나타(non marana tha) [봄툰e북]::326364 || 에이블리(소설)::논 마라나타(non marana tha)::112210 || 에이블리(소설)::논 마라나타(non marana tha) 세트::112211 || 올툰(소설)::논 마라나타(non marana tha)::112210,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,네이버_연재,아이돌공략법으로데뷔합니다,1,아이돌 공략법으로 데뷔합니다 [독점],A_정산서등장_정산정보없음::110065::109544::[연재] 아이돌 공략법으로 데뷔합니다,109544::[정산정보없음]_[연재] 아이돌 공략법으로 데뷔합니다::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),타채널 exact 지급정산 보강 판단,네이버_연재,이악당은이제제겁니다,1,이 악당은 이제 제 겁니다 [독점],A_정산서등장_정산정보없음::115650::114975::이 악당은 이제 제 겁니다,303946::이 악당은 이제 제 겁니다[단행본]::소설유통팀::이규희 || 114975::[정산정보없음]_이 악당은 이제 제 겁니다::소설유통팀::이규희,Yes24(시프트북스)::303946 || Yes24(서점)::303946 || OPMS::303946 || EDITIO::303946 || 한아름(P000003716)::303946,Yes24(시프트북스)::이 악당은 이제 제 겁니다[단행본]::303946 || Yes24(서점)::이 악당은 이제 제 겁니다[단행본]::303946 || OPMS::이 악당은 이제 제 겁니다[단행본]::303946 || EDITIO::이 악당은 이제 제 겁니다[단행본]::303946 || 한아름(P000003716)::이 악당은 이제 제 겁니다[단행본]::303946,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,네이버_장르,베스트단편추리소설걸작선,1,베스트 단편추리소설 걸작선,A_정산서등장_정산정보없음::181005::109919::[연재]베스트 단편 추리소설 걸작선,109919::[정산정보없음]_[연재]베스트 단편 추리소설 걸작선::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,네이버_장르,십교종사,1,십교종사 [단행본],A_정산서등장_정산정보없음::209289::114193::십교종사,114193::[정산정보없음]_십교종사::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,모픽(mofic),줍고보니괴담백서,1,줍고보니 괴담 백서,A_정산서등장_정산정보없음::847736::110642::[카카오] 줍고보니 괴담백서,110642::[정산정보없음]_[카카오] 줍고보니 괴담백서::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,무툰(소설 서비스),검,1,검(劍),A_정산서등장_정산정보없음::190905::111330::검(劍),111330::[정산정보없음]_검(劍)::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),타채널 exact 지급정산 보강 판단,무툰(소설 서비스),검무흔,1,검무흔(개정판. 무삭제본),A_정산서등장_정산정보없음::165934::107919::[10%할인]검무흔(개정판. 무삭제본),109362::[연재] 검무흔(개정판. 무삭제본)::소설편집팀::이선근 || 107919::[정산정보없음]_[10%할인]검무흔(개정판. 무삭제본)::소설편집팀::이선근,스토린랩(원스토어)::109362 || 미스터블루(소설)::109362 || 구글(소설)::109362 || 웹소설 하이북::109362 || 미소설::109362,스토린랩(원스토어)::[연재] 검무흔(개정판. 무삭제본)::109362 || 미스터블루(소설)::[연재] 검무흔(개정판. 무삭제본)::109362 || 구글(소설)::[연재] 검무흔(개정판. 무삭제본)::109362 || 웹소설 하이북::[연재] 검무흔(개정판. 무삭제본)::109362 || 미소설::[연재] 검무흔(개정판. 무삭제본)::109362,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,무툰(소설 서비스),검웅영제,1,검웅영제(무삭제 개정판),A_정산서등장_정산정보없음::111907::111345::검웅영제(무삭제 개정판),111345::[정산정보없음]_검웅영제(무삭제 개정판)::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,무툰(소설 서비스),구룡겁,1,구룡겁,A_정산서등장_정산정보없음::192469::111572::구룡겁,111572::[정산정보없음]_구룡겁::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,무툰(소설 서비스),삼랑소,1,삼랑소,A_정산서등장_정산정보없음::206738::113754::삼랑소,113754::[정산정보없음]_삼랑소::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),타채널 exact 지급정산 보강 판단,무툰(소설 서비스),십왕책,1,십왕책(개정판),A_정산서등장_정산정보없음::209371::114204::십왕책(개정판),114204::[정산정보없음]_십왕책(개정판)::소설편집팀::이선근 || 110013::[연재]십왕책(개정판)::소설편집팀::이선근,구글(소설)::110013 || 웹소설 하이북::110013 || 미소설::110013,구글(소설)::[연재]십왕책(개정판)::110013 || 웹소설 하이북::[연재]십왕책(개정판)::110013 || 미소설::[연재]십왕책(개정판)::110013,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,무툰(소설 서비스),칠기무제,1,칠기무제(무삭제 개정판),A_정산서등장_정산정보없음::116524::115816::칠기무제(무삭제 개정판),115816::[정산정보없음]_칠기무제(무삭제 개정판)::소설편집팀::이선근 || 109190::[세트]칠기무제(무삭제 개정판)(전3권 완결)::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,무툰(소설 서비스),혈무연,1,혈무연,A_정산서등장_정산정보없음::222509::116315::혈무연,116315::[정산정보없음]_혈무연::소설편집팀::이선근 || 110304::[정산정보없음]_[연재]혈무연::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),검,1,검 [단행본],A_정산서등장_정산정보없음::190906::111330::검(劍),111330::[정산정보없음]_검(劍)::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),검은달의전설,1,검은 달의 전설 [단행본],A_정산서등장_정산정보없음::624712::111350::검은 달의 전설,111350::[정산정보없음]_검은 달의 전설::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),검혼무,1,검혼무 [단행본],A_정산서등장_정산정보없음::806958::111371::검혼무,111371::[정산정보없음]_검혼무::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),고검기,1,고검기 [단행본],A_정산서등장_정산정보없음::163375::160177::고검기,160177::[정산정보없음]_고검기::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),고검사우객,1,고검사우객 [단행본],A_정산서등장_정산정보없음::112009::111445::고검사우객,111445::[정산정보없음]_고검사우객::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),군,1,군 [단행본],A_정산서등장_정산정보없음::192809::111607::군(軍),111607::[정산정보없음]_군(軍)::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),금검지,1,금검지 [단행본],A_정산서등장_정산정보없음::163135::160065::금검지,160065::[정산정보없음]_금검지::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),금황,1,금황 [단행본],A_정산서등장_정산정보없음::194184::111821::금황,111821::[정산정보없음]_금황::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),나쁜며느리,1,나쁜 며느리 [단행본],A_정산서등장_정산정보없음::163902::160510::나쁜며느리,160510::[정산정보없음]_나쁜며느리::소설2팀::김인희,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),타채널 exact 지급정산 보강 판단,미스터블루(소설),나이츠,1,나이츠 (Nights) [단행본],A_정산서등장_정산정보없음::806960::133829::나이츠(Nights),325231::나이츠 (nights)::소설편집팀::이선근 || 133829::[정산정보없음]_나이츠(Nights)::패밀리케어팀::남단미,북큐브(소설)::325231,북큐브(소설)::나이츠 (nights)::325231,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),뇌신혈,1,뇌신혈 [단행본],A_정산서등장_정산정보없음::112807::112219::뇌신혈,112219::뇌신혈::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),대도란,1,대도란 [단행본],A_정산서등장_정산정보없음::113031::112440::대도란,112440::대도란::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),대상천하,1,대상천하 [단행본],A_정산서등장_정산정보없음::198226::112460::대상천하,112460::[정산정보없음]_대상천하::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),더히어로즈,1,더 히어로즈 [단행본],A_정산서등장_정산정보없음::163205::160109::더히어로즈,160109::[정산정보없음]_더히어로즈::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),S2 신규/진짜없음 판단,미스터블루(소설),마황,1,마황 [단행본],A_정산서등장_정산정보없음::201379::112914::마황,112914::[정산정보없음]_마황::소설편집팀::이선근,,,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
같은채널 판매채널콘텐츠 있음(A급 정산정보없음),타채널 exact 지급정산 보강 판단,미스터블루(소설),몽유강호,1,몽유강호 [단행본],A_정산서등장_정산정보없음::565433::113047::몽유강호,113047::몽유강호::소설편집팀::이선근,웹소설 하이북::113047 || 무툰(소설 서비스)::113047 || 한아름(P000003716)::113047 || 판무림::113047 || 네이버_장르::113047,웹소설 하이북::몽유강호::113047 || 무툰(소설 서비스)::몽유강호::113047 || 한아름(P000003716)::몽유강호::113047 || 판무림::몽유강호::113047 || 네이버_장르::몽유강호::113047,S2 판매채널콘텐츠는 이미 정산서 등장 A급. 지급정산관리 생성/연결 우선 검토
